#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
1,wp.com,38962801,0.03063827,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
2,pinimg.com,33342366,0.02621866,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
3,cloudfront.net,24747531,0.019460139,/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,Internet & Telecom,Mobile & Wireless,Mobile Apps & Add-Ons
4,ebayimg.com,23976613,0.01885393,/Shopping,Shopping,,
5,ssl-images-amazon.com,16812595,0.01322053,,,,
6,amazonaws.com,14746203,0.011595628,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
7,wordpress.com,13255529,0.010423441,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
8,wixstatic.com,12850610,0.010105035,,,,
9,ebaystatic.com,12312600,0.009681973,/Arts & Entertainment,Arts & Entertainment,,
10,ytimg.com,11688387,0.0091911244,,,,
11,dreamstime.com,11277163,0.0088677603,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
12,alicdn.com,10989449,0.0086415166,,,,
13,picclickimg.com,9852386,0.0077473915,/Shopping/Auctions,Shopping,Auctions,
14,redbubble.net,8901344,0.006999543,,,,
15,fineartamerica.com,8800605,0.006920327,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
16,gstatic.com,8751716,0.006881883,,,,
17,blogspot.com,8221790,0.0064651775,/Online Communities,Online Communities,,
18,bing.net,8094267,0.0063649,,,,
19,squarespace-cdn.com,8044826,0.006326023,,,,
20,scribdassets.com,7616454,0.0059891737,/Books & Literature/E-Books,Books & Literature,E-Books,
21,media-amazon.com,7584419,0.005963983,,,,
22,bigcommerce.com,6905662,0.005430244,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
23,specsserver.com,6699058,0.005267782,,,,
24,etsystatic.com,6557317,0.0051563245,,,,
25,cpcache.com,6175770,0.0048562965,,,,
26,googleusercontent.com,6004930,0.0047219568,/Internet & Telecom,Internet & Telecom,,
27,smugmug.com,5880093,0.0046237916,/Hobbies & Leisure,Hobbies & Leisure,,
28,prom.st,5525995,0.0043453482,,,,
29,tripadvisor.com,4831828,0.003799492,/Travel,Travel,,
30,zcache.com,4721041,0.003712375,,,,
31,nocookie.net,4515237,0.0035505417,/Online Communities,Online Communities,,
32,webshopapp.com,4301500,0.0033824706,/Shopping,Shopping,,
33,s6img.com,4271736,0.0033590657,,,,
