ISO 639-1,ISO 639-3,Language,# Etnologue (*),Rank,# LAION-5B,# Common Crawl Pages,% Subset,% en+multi,% Spoken Language,Speakers per Image,# Images/CC Page,% Images to CC,# Images per CC Page,# s0.26,% s0.26
en,eng,English,1456000000,1,2322161808,1178882529,100.00%,50.61%,159.49%,0.627001958,1.969799154,50.77%,1.735477927,,
ru,rus,Russian,255000000,2,241667290,240333312,10.66%,5.27%,94.77%,1.055169692,1.005550533,99.45%,9.909238671,65487161,27.10%
fr,fra,French,310000000,3,168422626,116138883,7.43%,3.67%,54.33%,1.840607805,1.450182933,68.96%,8.151147939,37877390,22.49%
de,deu,German,133000000,4,150491224,133628300,6.64%,3.28%,113.15%,0.883772465,1.12619276,88.79%,18.99891625,33695707,22.39%
es,spa,Spanish,559000000,5,149872812,109410457,6.61%,3.27%,26.81%,3.729829263,1.369821643,73.00%,4.520314599,33548659,22.38%
zh,zho,Chinese,1138000000,6,143104279,113531714,6.31%,3.12%,12.58%,7.952242993,1.260478451,79.33%,2.22043573,46635565,32.59%
ja,jpn,Japanese,123000000,7,131283612,143535898,5.79%,2.86%,106.73%,0.936902924,0.91463957,109.33%,20.54354359,45680944,34.80%
it,ita,Italian,68000000,8,95991860,52747492,4.24%,2.09%,141.16%,0.708393399,1.819837425,54.95%,37.15964501,22852912,23.81%
pt,por,Portuguese,264000000,9,88250821,53220076,3.89%,1.92%,33.43%,2.991473586,1.658224257,60.31%,9.571423716,20310421,23.01%
nl,nld,Dutch,24500000,10,66184921,36731598,2.92%,1.44%,270.14%,0.370174953,1.801852481,55.50%,103.1369739,15203947,22.97%
pl,pol,Polish,40600000,11,62344864,44687229,2.75%,1.36%,153.56%,0.651216434,1.395138284,71.68%,62.23782909,15951145,25.59%
no,nor,Norwegian,5300000,12,49612973,7832173,2.19%,1.08%,936.09%,0.106826898,6.334509337,15.79%,476.7652568,10923652,22.02%
vi,vie,Vietnamese,85800000,13,48169285,20055433,2.13%,1.05%,56.14%,1.781218052,2.401807281,41.64%,29.45053451,11924542,24.76%
tr,tur,Turkish,90000000,14,36596083,23422436,1.61%,0.80%,40.66%,2.45927959,1.562437101,64.00%,28.07617623,9095080,24.85%
la,lat,Latin,,15,35356386,889401,1.56%,0.77%,,,39.75303153,2.52%,,8585009,24.28%
lb,ltz,Luxembourgish,300000,16,34270773,53532,1.51%,0.75%,11423.59%,0.008753815,640.1922775,0.16%,8422.85287,7297032,21.29%
gl,glg,Galician,2400000,17,32654305,590232,1.44%,0.71%,1360.60%,0.0734972,55.32452493,1.81%,1052.856609,7868892,24.10%
da,dan,Danish,5600000,18,32501665,9785256,1.43%,0.71%,580.39%,0.172298865,3.321493582,30.11%,451.2242609,6729222,20.70%
cs,ces,Czech,12300000,19,30706872,27345500,1.35%,0.67%,249.65%,0.400561803,1.122922309,89.05%,205.4354359,7647970,24.91%
bg,bul,Bulgarian,7700000,20,29019016,7003816,1.28%,0.63%,376.87%,0.265343249,4.143315016,24.14%,328.1630988,8216492,28.31%
sv,swe,Swedish,13100000,21,27483286,19418339,1.21%,0.60%,209.80%,0.476653338,1.415326306,70.66%,192.8897604,6530105,23.76%
ca,cat,Catalan,9300000,22,26190223,4579395,1.16%,0.57%,281.62%,0.355094342,5.719144778,17.49%,271.7049313,6205952,23.70%
el,ell,Modern Greek (1453-),13100000,23,26014551,12867678,1.15%,0.57%,198.58%,0.503564332,2.021697388,49.46%,192.8897604,6318854,24.29%
af,afr,Afrikaans,17700000,24,25313228,193831,1.12%,0.55%,143.01%,0.699239149,130.5943219,0.77%,142.7602181,5643467,22.29%
fy,fry,Western Frisian,500000,25,25143088,55862,1.11%,0.55%,5028.62%,0.019886181,450.0928717,0.22%,5053.711722,5364965,21.34%
