#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
1,shopify.com,136069478,0.05859603,/Computers & Electronics/Enterprise Technology,Computers & Electronics,Enterprise Technology,
2,pinimg.com,85341274,0.036750786,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
3,wp.com,59197014,0.0254922,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
4,cloudfront.net,39849979,0.017160724,/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,Internet & Telecom,Mobile & Wireless,Mobile Apps & Add-Ons
5,ebayimg.com,37317390,0.016070107,/Shopping,Shopping,,
6,ssl-images-amazon.com,34430552,0.014826939,,,,
7,alicdn.com,28198242,0.012143099,,,,
8,slideplayer.com,26387376,0.01136328,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
9,ebaystatic.com,25830892,0.011123639,/Arts & Entertainment,Arts & Entertainment,,
10,fineartamerica.com,25792043,0.011106911,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
11,gstatic.com,25549308,0.011002381,,,,
12,amazonaws.com,25204595,0.010853935,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
13,dreamstime.com,24272379,0.010452492,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
14,bing.net,23917054,0.010299478,,,,
15,specsserver.com,23162113,0.009974374,,,,
16,ytimg.com,21808642,0.009391525,,,,
17,123rf.com,19478388,0.0083880407,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
18,wordpress.com,18782833,0.0080885106,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
19,shutterstock.com,16865400,0.007262801,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
20,photoshelter.com,15769115,0.006790705,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
21,vectorstock.com,15309310,0.006592697,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
22,bigstockphoto.com,15136592,0.0065183187,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
23,bigcommerce.com,14560325,0.006270159,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
24,etsystatic.com,14213057,0.0061206144,,,,
25,blogspot.com,13849314,0.005963974,/Online Communities,Online Communities,,
26,picclickimg.com,13171157,0.0056719375,/Shopping/Auctions,Shopping,Auctions,
27,gettyimages.com,12310324,0.005301234,/Shopping/Photo & Video Services,Shopping,Photo & Video Services,
28,scene7.com,12078031,0.005201201,/Business & Industrial/Business Services,Business & Industrial,Business Services,
29,media-amazon.com,11849450,0.005102767,,,,
30,redbubble.net,11841694,0.0050994265,,,,
31,squarespace-cdn.com,10319840,0.0044440654,,,,
32,zcache.com,10214259,0.0043985987,,,,
33,wixstatic.com,9303678,0.0040064725,,,,
34,smugmug.com,9218783,0.0039699137,/Hobbies & Leisure,Hobbies & Leisure,,
35,cpcache.com,8885608,0.003826438,,,,
36,slideserve.com,8870391,0.0038198847,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
37,yimg.com,8753397,0.0037695032,/Finance/Accounting & Auditing/Tax Preparation & Planning,Finance,Accounting & Auditing,Tax Preparation & Planning
38,keepcalms.com,8270628,0.003561607,/Arts & Entertainment,Arts & Entertainment,,
39,made-in-china.com,8246491,0.0035512128,/Business & Industrial,Business & Industrial,,
40,ftcdn.net,8236808,0.003547043,,,,
41,images-amazon.com,8014847,0.003451459,,,,
42,depositphotos.com,7615201,0.0032793584,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
43,googleusercontent.com,7594253,0.0032703373,/Internet & Telecom,Internet & Telecom,,
44,azureedge.net,6775160,0.0029176086,/Health/Nutrition,Health,Nutrition,
45,teacherspayteachers.com,6735262,0.0029004276,/Jobs & Education/Education/Teaching & Classroom Resources,Jobs & Education,Education,Teaching & Classroom Resources
46,s6img.com,6570481,0.002829467,,,,
47,canstockphoto.com,6424706,0.0027666917,/Business & Industrial/Business Services,Business & Industrial,Business Services,
48,netdna-ssl.com,6317795,0.0027206522,/Health/Health Conditions/Infectious Diseases,Health,Health Conditions,Infectious Diseases
49,aliimg.com,5871338,0.002528393,/Computers & Electronics,Computers & Electronics,,
50,googleapis.com,5756534,0.0024789546,/Reference/Geographic Reference/Maps,Reference,Geographic Reference,Maps
51,tripadvisor.com,5641890,0.0024295852,/Travel,Travel,,
52,fastly.net,5461987,0.0023521128,/Computers & Electronics/Computer Security,Computers & Electronics,Computer Security,
53,dailymail.co.uk,5461700,0.0023519893,/News,News,,
