#,Domain,Count,Percentage,IAB Content Taxonomy,Tier 1,Tier 2,Tier 3
1,dreamstime.com,62772003,0.027699199,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
2,wp.com,58000648,0.025593758,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
3,pinimg.com,35839419,0.015814744,/Home & Garden/Home & Interior Decor,Home & Garden,Home & Interior Decor,
4,alicdn.com,30703811,0.013548572,,,,
5,freepik.com,24701261,0.010899844,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
6,cloudfront.net,23914812,0.010552812,/Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,Internet & Telecom,Mobile & Wireless,Mobile Apps & Add-Ons
7,ssl-images-amazon.com,23173335,0.010225623,,,,
8,prom.st,19932082,0.0087953645,,,,
9,amazonaws.com,19071836,0.008415767,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
10,ebayimg.com,16479426,0.007271823,/Shopping,Shopping,,
11,wordpress.com,16326046,0.0072041416,/Internet & Telecom/Web Services/Web Design & Development,Internet & Telecom,Web Services,Web Design & Development
12,made-in-china.com,15524116,0.006850276,/Business & Industrial,Business & Industrial,,
13,ytimg.com,14926988,0.0065867835,,,,
14,wixstatic.com,14500449,0.006398566,,,,
15,blogspot.com,13577209,0.005991171,/Online Communities,Online Communities,,
16,scribdassets.com,13515844,0.0059640926,/Books & Literature/E-Books,Books & Literature,E-Books,
17,media-amazon.com,11832569,0.005221319,,,,
18,b-static.com,8887684,0.0039218393,,,,
19,bing.net,8353319,0.003686042,,,,
20,picclickimg.com,8296157,0.0036608183,/Shopping/Auctions,Shopping,Auctions,
21,ebaystatic.com,7542513,0.0033282602,/Arts & Entertainment,Arts & Entertainment,,
22,yimg.jp,7030610,0.0031023744,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
23,r10s.jp,6779600,0.002991612,/Arts & Entertainment,Arts & Entertainment,,
24,mlstatic.com,6696866,0.0029551044,,,,
25,akamaized.net,6624058,0.0029229766,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
26,googleusercontent.com,6545458,0.002888293,/Internet & Telecom,Internet & Telecom,,
27,redbubble.net,6324493,0.0027907884,,,,
28,yimg.com,6294194,0.0027774185,/Finance/Accounting & Auditing/Tax Preparation & Planning,Finance,Accounting & Auditing,Tax Preparation & Planning
29,gstatic.com,6099807,0.002691642,,,,
30,squarespace-cdn.com,5929962,0.0026166952,,,,
31,tripadvisor.com,5649600,0.0024929805,/Travel,Travel,,
32,123rf.com,5084504,0.0022436227,/Arts & Entertainment/Online Media/Online Image Galleries,Arts & Entertainment,Online Media,Online Image Galleries
33,slideplayer.com.br,5054149,0.0022302279,/Computers & Electronics/Software,Computers & Electronics,Software,
34,slideplayer.es,4982140,0.0021984528,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
35,webshopapp.com,4975482,0.0021955147,/Shopping,Shopping,,
36,canstockphoto.com,4926605,0.002173947,/Business & Industrial/Business Services,Business & Industrial,Business Services,
37,infourok.ru,4915261,0.0021689413,/Jobs & Education/Education/Training & Certification,Jobs & Education,Education,Training & Certification
38,smugmug.com,4809392,0.0021222247,/Hobbies & Leisure,Hobbies & Leisure,,
39,zcache.com,4676665,0.0020636567,,,,
40,cpcache.com,4595625,0.0020278965,,,,
41,staticmorizon.com.pl,4435429,0.0019572075,/Computers & Electronics/Computer Hardware,Computers & Electronics,Computer Hardware,
42,slideplayer.fr,4418106,0.0019495633,/Health,Health,,
43,fineartamerica.com,4382940,0.0019340457,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
44,nocookie.net,4239649,0.0018708162,/Online Communities,Online Communities,,
45,cloudinary.com,4178895,0.0018440074,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
46,jimcdn.com,4081808,0.0018011662,,,,
47,bigcommerce.com,4001678,0.0017658076,/Business & Industrial/Business Services/E-Commerce Services,Business & Industrial,Business Services,E-Commerce Services
48,myshared.ru,3961224,0.0017479566,/Arts & Entertainment,Arts & Entertainment,,
49,fc2.com,3928513,0.0017335221,/Internet & Telecom/Web Services,Internet & Telecom,Web Services,
50,slideplayer.it,3803409,0.0016783181,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
51,userapi.com,3702796,0.0016339208,/Online Communities/Social Networks,Online Communities,Social Networks,
52,slideplayer.org,3521459,0.0015539028,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
53,bezformata.com,3515299,0.0015511845,/Shopping/Apparel,Shopping,Apparel,
54,specsserver.com,3489314,0.0015397182,,,,
55,vecteezy.com,3447769,0.0015213859,/Online Communities/Online Goodies/Clip Art & Animated GIFs,Online Communities,Online Goodies,Clip Art & Animated GIFs
56,rakuten.co.jp,3259132,0.0014381465,/Online Communities/Blogging Resources & Services,Online Communities,Blogging Resources & Services,
57,photoshelter.com,3257905,0.0014376052,/Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,Arts & Entertainment,Visual Art & Design,Photographic & Digital Arts
58,etsystatic.com,3150405,0.001390169,,,,
59,bstatic.com,3132368,0.0013822098,/Travel/Hotels & Accommodations,Travel,Hotels & Accommodations,
60,slideserve.com,3099493,0.0013677032,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
61,dhresource.com,3086334,0.0013618967,,,,
62,delcampe.net,3057909,0.0013493536,/Shopping/Antiques & Collectibles,Shopping,Antiques & Collectibles,
63,wikimedia.org,3016187,0.0013309431,/People & Society/Social Issues & Advocacy,People & Society,Social Issues & Advocacy,
64,staticflickr.com,3009123,0.001327826,,,,
65,over-blog.com,2969046,0.0013101412,/Sports/Team Sports/Basketball,Sports,Team Sports,Basketball
66,imgix.net,2961258,0.0013067047,/Arts & Entertainment,Arts & Entertainment,,
67,scene7.com,2862514,0.0012631324,/Business & Industrial/Business Services,Business & Industrial,Business Services,
68,insales.ru,2735086,0.0012069026,/Arts & Entertainment/Online Media,Arts & Entertainment,Online Media,
69,deviantart.net,2718880,0.0011997514,/Arts & Entertainment/Visual Art & Design,Arts & Entertainment,Visual Art & Design,
70,todocoleccion.online,2713392,0.00119732976,/Shopping/Antiques & Collectibles,Shopping,Antiques & Collectibles,
71,muscache.com,2665671,0.001176272,,,,
72,slidesharecdn.com,2625131,0.0011583831,,,,
73,s6img.com,2595342,0.0011452382,,,,
74,motorsport.com,2574000,0.0011358207,/Sports/Motor Sports,Sports,Motor Sports,
75,ftcdn.net,2569058,0.00113363996,,,,
76,over-blog-kiwi.com,2550072,0.001125262,/News,News,,
77,images-amazon.com,2549045,0.0011248088,,,,
78,tcdn.com.br,2527351,0.001115236,,,,
79,myshoptet.com,2512840,0.0011088328,/Business & Industrial,Business & Industrial,,
80,zadn.vn,2483628,0.0010959425,,,,
81,youtube.com,2459652,0.00108536266,/Arts & Entertainment/TV & Video/Online Video,Arts & Entertainment,TV & Video,Online Video
82,st-hatena.com,2444433,0.001078647,,,,
83,slideplayer.cz,2439794,0.0010766,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
84,whicdn.com,2421462,0.0010685107,,,,
85,slideplayer.pl,2402242,0.0010600295,/Computers & Electronics/Software/Business & Productivity Software,Computers & Electronics,Software,Business & Productivity Software
86,denik.cz,2390429,0.00105481684,/News,News,,
87,flickr.com,2389163,0.0010542582,/Online Communities,Online Communities,,
88,googleapis.com,2366532,0.0010442719,/Reference/Geographic Reference/Maps,Reference,Geographic Reference,Maps
89,windows.net,2340416,0.0010327478,/Computers & Electronics/Software,Computers & Electronics,Software,
90,pimg.tw,2327155,0.0010268962,/Arts & Entertainment,Arts & Entertainment,,
91,yandex.ru,2210451,0.0009753985,/Internet & Telecom,Internet & Telecom,,
92,azureedge.net,2196263,0.00096913785,/Health/Nutrition,Health,Nutrition,
93,mediacdn.vn,2187574,0.0009653037,,,,
94,lecteurs.com,2106087,0.00092934616,/People & Society/Religion & Belief,People & Society,Religion & Belief,
