Greater Than Or Equal,Less Than,Count
-inf,0,0
0,0.01,0
0.01,0.02,0
0.02,0.03,0
0.03,0.04,0
0.04,0.05,0
0.05,0.06,0
0.06,0.07,0
0.07,0.08,0
0.08,0.09,0
0.09,0.1,0
0.1,0.11,0
0.11,0.12,0
0.12,0.13,0
0.13,0.14,0
0.14,0.15,0
0.15,0.16,0
0.16,0.17,0
0.17,0.18,0
0.18,0.19,0
0.19,0.2,0
0.2,0.21,0
0.21,0.22,0
0.22,0.23,0
0.23,0.24,0
0.24,0.25,215329
0.25,0.26,176247
0.26,0.27,577170947
0.27,0.28,467860946
0.28,0.29,369600205
0.29,0.3,278565440
0.3,0.31,200565135
0.31,0.32,137518367
0.32,0.33,90455191
0.33,0.34,57275731
0.34,0.35,35243723
0.35,0.36,21345978
0.36,0.37,12647679
0.37,0.38,7420425
0.38,0.39,4306325
0.39,0.4,2432582
0.4,0.41,1346643
0.41,0.42,724989
0.42,0.43,384221
0.43,0.44,190103
0.44,0.45,95458
0.45,0.46,41910
0.46,0.47,18155
0.47,0.48,7251
0.48,0.49,2658
0.49,0.5,968
0.5,0.51,330
0.51,0.52,109
0.52,0.53,57
0.53,0.54,13
0.54,0.55,7
0.55,0.56,1
0.56,0.57,0
0.57,0.58,1
0.58,0.59,0
0.59,0.6,0
0.6,0.61,0
0.61,0.62,0
0.62,0.63,0
0.63,0.64,0
0.64,0.65,0
0.65,0.66,0
0.66,0.67,0
0.67,0.68,0
0.68,0.69,0
0.69,0.7,0
0.7,0.71,0
0.71,0.72,0
0.72,0.73,0
0.73,0.74,0
0.74,0.75,0
0.75,0.76,0
0.76,0.77,0
0.77,0.78,0
0.78,0.79,0
0.79,0.8,0
0.8,0.81,0
0.81,0.82,0
0.82,0.83,0
0.83,0.84,0
0.84,0.85,0
0.85,0.86,0
0.86,0.87,0
0.87,0.88,0
0.88,0.89,0
0.89,0.9,0
0.9,0.91,0
0.91,0.92,0
0.92,0.93,0
0.93,0.94,0
0.94,0.95,0
0.95,0.96,0
0.96,0.97,0
0.97,0.98,0
0.98,0.99,0
0.99,1,0
1,inf,14787
